Date,Tournaments,Earnings
01/1998,1,15000.0
05/1998,1,14600.0
07/1998,2,21500.0
11/1998,4,78600.0
12/1998,1,2000.0
03/1999,1,15000.0
04/1999,1,3000.0
05/1999,2,54800.0
08/1999,3,99498.86
09/1999,4,51066.16
10/1999,1,26800.0
12/1999,4,24988.82
01/2000,4,59156.02
02/2000,2,4450.0
04/2000,10,125442.63
05/2000,5,30502.49
06/2000,5,12471.17
07/2000,7,23170.0
08/2000,5,27795.9
09/2000,10,70730.21
10/2000,7,225000.0
11/2000,1,17600.0
12/2000,8,148989.07
01/2001,8,30233.48
02/2001,1,3750.0
03/2001,5,1641.29
04/2001,6,46183.52
05/2001,6,41707.59
06/2001,1,500.0
07/2001,3,16800.0
08/2001,8,71894.72
09/2001,2,30598.91
10/2001,3,35057.6
11/2001,3,102859.27
12/2001,17,512538.08
01/2002,1,1000.0
02/2002,2,27000.0
03/2002,2,2035.0
04/2002,5,25838.4
05/2002,5,34990.88
06/2002,4,29848.28
07/2002,9,140090.45
08/2002,13,101850.0
09/2002,5,11072.64
10/2002,5,44675.44
11/2002,15,311106.0
12/2002,13,238712.5
01/2003,8,19881.2
02/2003,6,28021.71
03/2003,9,80898.81
04/2003,17,115706.54
05/2003,11,21740.3
06/2003,11,139023.3
07/2003,16,225845.95
08/2003,22,324914.28
09/2003,12,62784.77
10/2003,29,411974.16
11/2003,27,170951.35
12/2003,11,172857.29
01/2004,21,278815.89
02/2004,9,66843.45
03/2004,11,58416.55
04/2004,17,123333.67
05/2004,23,56732.65
06/2004,22,110613.59
07/2004,28,452612.27
08/2004,44,570507.99
09/2004,22,87911.47
10/2004,27,631716.09
11/2004,19,123957.91
12/2004,20,275039.06
01/2005,15,150515.66
02/2005,20,184471.01
03/2005,26,351290.73
04/2005,11,30318.04
05/2005,22,236253.59
06/2005,27,256644.36
07/2005,37,821385.21
08/2005,61,432104.91
09/2005,26,157358.81
10/2005,21,296562.21
11/2005,34,974530.81
12/2005,27,414921.6
01/2006,22,505141.68
02/2006,48,518608.02
03/2006,48,471505.22
04/2006,48,252441.66
05/2006,38,556774.06
06/2006,78,803039.88
07/2006,92,2113488.8
08/2006,108,1085333.68
09/2006,62,686887.38
10/2006,90,1399455.7
11/2006,88,1410415.92
12/2006,78,1497522.08
01/2007,18,204207.06
02/2007,25,278998.2
03/2007,33,553542.17
04/2007,61,436007.72
05/2007,32,212911.51
06/2007,48,469245.12
07/2007,33,690349.85
08/2007,59,949911.19
09/2007,41,412476.48
10/2007,44,1178115.79
11/2007,45,483841.4
12/2007,59,1575461.57
01/2008,18,185179.4
02/2008,34,526147.3
03/2008,71,881561.49
04/2008,18,157798.15
05/2008,32,309847.4
06/2008,38,383777.1
07/2008,57,1649218.23
08/2008,70,805795.03
09/2008,27,165909.01
10/2008,48,780188.17
11/2008,84,1396716.93
12/2008,36,252463.3
01/2009,40,216563.77
02/2009,47,187378.56
03/2009,52,444572.14
04/2009,74,301372.62
05/2009,51,265380.47
06/2009,57,324239.06
07/2009,55,281837.3
08/2009,94,841581.35
09/2009,54,151526.18
10/2009,37,198071.2
11/2009,65,646182.9
12/2009,31,270314.76
01/2010,41,695867.19
02/2010,62,214101.42
03/2010,56,268521.48
04/2010,68,292079.87
05/2010,70,393110.3
06/2010,66,332688.29
07/2010,74,470393.41
08/2010,107,757660.57
09/2010,82,209805.49
10/2010,134,1104313.81
11/2010,131,1056649.3
12/2010,101,532347.38
01/2011,136,465454.73
02/2011,122,292367.91
03/2011,118,453188.63
04/2011,121,470637.91
05/2011,143,335304.96
06/2011,151,937649.6
07/2011,154,604590.58
08/2011,128,2203519.82
09/2011,126,1458385.98
10/2011,166,1320105.27
11/2011,154,1187787.48
12/2011,140,822055.1
01/2012,135,341030.25
02/2012,135,231699.05
03/2012,166,907501.72
04/2012,191,716044.1
05/2012,172,662945.55
06/2012,185,697334.91
07/2012,231,1005729.89
08/2012,157,1079578.19
09/2012,161,2446972.13
10/2012,142,2738761.87
11/2012,154,1651207.87
12/2012,158,1696950.71
01/2013,117,331863.54
02/2013,176,1529441.44
03/2013,179,1309446.86
04/2013,154,1900135.52
05/2013,180,596509.15
06/2013,218,2268571.48
07/2013,215,1659479.97
08/2013,213,4619731.08
09/2013,194,866713.7
10/2013,207,3303653.94
11/2013,229,2475094.33
12/2013,214,1402417.87
01/2014,192,1638684.0
02/2014,211,774414.28
03/2014,269,2666442.59
04/2014,276,2537142.15
05/2014,247,1207697.49
06/2014,249,2340917.56
07/2014,219,12285030.18
08/2014,271,2155951.55
09/2014,228,1656319.2
10/2014,314,5125583.34
11/2014,345,2764563.55
12/2014,314,2470447.88
01/2015,255,3718650.94
02/2015,326,3802778.49
03/2015,421,3582921.68
04/2015,476,3461980.91
05/2015,490,3015659.36
06/2015,443,3300476.41
07/2015,475,3537473.33
08/2015,555,21718873.79
09/2015,407,2683979.92
10/2015,504,5066941.6
11/2015,519,8404515.12
12/2015,390,4889048.71
01/2016,401,3808293.97
02/2016,386,2123373.23
03/2016,408,8298499.94
04/2016,401,5418505.5
05/2016,437,5137998.88
06/2016,351,7242705.13
07/2016,380,7149656.04
08/2016,379,24439080.07
09/2016,345,4898857.41
10/2016,470,10720539.89
11/2016,460,7646338.88
12/2016,370,11231034.06
01/2017,370,8951412.52
02/2017,371,2757998.47
03/2017,371,3823014.36
04/2017,514,9496017.52
05/2017,404,8769291.45
06/2017,342,6623278.87
07/2017,404,7046546.35
08/2017,434,31252554.56
09/2017,402,4757734.86
10/2017,416,9191765.93
11/2017,411,13596492.28
12/2017,411,10235245.04
01/2018,306,6294830.5
02/2018,278,4820654.5
03/2018,350,10516722.04
04/2018,392,11608973.98
05/2018,398,10774572.13
06/2018,351,9850802.19
07/2018,361,13473632.13
08/2018,347,38183377.99
09/2018,407,12287208.97
10/2018,413,15573725.11
11/2018,452,17522245.9
12/2018,610,14392460.88
01/2019,400,6352569.94
02/2019,342,5908505.57
03/2019,524,11572048.43
04/2019,472,13893133.57
05/2019,516,13193179.83
06/2019,554,17053955.62
07/2019,546,49350751.3
08/2019,503,48394489.9
09/2019,506,20825596.17
10/2019,396,8728152.25
11/2019,371,17902972.84
12/2019,315,22485539.3
01/2020,272,3883418.3
02/2020,271,7982613.0
03/2020,349,7451209.23
04/2020,367,8118897.43
05/2020,408,9459097.82
06/2020,452,8585401.7
07/2020,334,6551467.79
08/2020,402,18654594.27
09/2020,364,8815134.99
10/2020,334,13602164.79
11/2020,341,11258805.21
12/2020,326,11549728.82
01/2021,199,6030645.41
02/2021,176,4075896.39
03/2021,224,13010918.07
