date,Fighting Game,First-Person Shooter,Multiplayer Online Battle Arena,Sports,Strategy,Others
01/01/2009,17.0,12.0,0.0,0.0,10.0,1.0
01/02/2009,16.0,21.0,0.0,3.0,6.0,1.0
01/03/2009,24.0,13.0,1.0,0.0,9.0,5.0
01/04/2009,27.0,29.0,1.0,2.0,12.0,3.0
01/05/2009,16.0,15.0,2.0,1.0,17.0,0.0
01/06/2009,16.0,15.0,1.0,2.0,17.0,6.0
01/07/2009,19.0,19.0,1.0,0.0,14.0,2.0
01/08/2009,21.0,33.0,3.0,7.0,25.0,5.0
01/09/2009,28.0,16.0,2.0,2.0,6.0,0.0
01/10/2009,5.0,22.0,1.0,1.0,8.0,0.0
01/11/2009,10.0,29.0,2.0,2.0,13.0,9.0
01/12/2009,5.0,16.0,1.0,1.0,7.0,1.0
01/01/2010,7.0,20.0,0.0,0.0,10.0,4.0
01/02/2010,12.0,30.0,2.0,7.0,9.0,2.0
01/03/2010,18.0,20.0,0.0,4.0,12.0,2.0
01/04/2010,7.0,31.0,2.0,5.0,21.0,2.0
01/05/2010,4.0,25.0,0.0,7.0,32.0,2.0
01/06/2010,14.0,26.0,1.0,7.0,14.0,4.0
01/07/2010,15.0,27.0,4.0,8.0,17.0,3.0
01/08/2010,11.0,42.0,3.0,7.0,40.0,4.0
01/09/2010,8.0,15.0,7.0,4.0,47.0,1.0
01/10/2010,9.0,31.0,8.0,8.0,70.0,8.0
01/11/2010,11.0,34.0,11.0,6.0,64.0,5.0
01/12/2010,9.0,20.0,10.0,6.0,53.0,3.0
01/01/2011,27.0,20.0,8.0,5.0,75.0,1.0
01/02/2011,8.0,27.0,5.0,4.0,75.0,3.0
01/03/2011,5.0,19.0,18.0,4.0,69.0,3.0
01/04/2011,1.0,30.0,15.0,7.0,63.0,5.0
01/05/2011,16.0,23.0,15.0,6.0,81.0,2.0
01/06/2011,32.0,20.0,17.0,8.0,72.0,2.0
01/07/2011,19.0,31.0,19.0,6.0,78.0,1.0
01/08/2011,15.0,18.0,21.0,5.0,67.0,2.0
01/09/2011,7.0,13.0,19.0,6.0,80.0,1.0
01/10/2011,6.0,27.0,29.0,7.0,92.0,5.0
01/11/2011,16.0,20.0,26.0,13.0,74.0,5.0
01/12/2011,5.0,20.0,29.0,6.0,77.0,3.0
01/01/2012,15.0,19.0,27.0,7.0,62.0,5.0
01/02/2012,3.0,24.0,23.0,6.0,73.0,6.0
01/03/2012,14.0,21.0,44.0,5.0,77.0,5.0
01/04/2012,11.0,36.0,49.0,8.0,77.0,10.0
01/05/2012,12.0,24.0,46.0,6.0,79.0,5.0
01/06/2012,22.0,21.0,55.0,6.0,78.0,3.0
01/07/2012,33.0,31.0,68.0,6.0,88.0,5.0
01/08/2012,22.0,24.0,50.0,4.0,56.0,1.0
01/09/2012,9.0,25.0,61.0,6.0,58.0,2.0
01/10/2012,18.0,28.0,39.0,4.0,51.0,2.0
01/11/2012,18.0,27.0,47.0,7.0,50.0,5.0
01/12/2012,15.0,31.0,56.0,6.0,49.0,1.0
01/01/2013,23.0,20.0,39.0,4.0,31.0,0.0
01/02/2013,32.0,34.0,56.0,8.0,45.0,1.0
01/03/2013,23.0,37.0,57.0,6.0,51.0,5.0
01/04/2013,33.0,38.0,39.0,4.0,38.0,2.0
01/05/2013,64.0,30.0,33.0,6.0,44.0,3.0
01/06/2013,51.0,39.0,46.0,6.0,71.0,5.0
01/07/2013,63.0,36.0,51.0,4.0,58.0,3.0
01/08/2013,58.0,39.0,52.0,5.0,59.0,0.0
01/09/2013,52.0,37.0,49.0,5.0,51.0,0.0
01/10/2013,56.0,39.0,44.0,5.0,57.0,6.0
01/11/2013,62.0,38.0,62.0,6.0,56.0,5.0
01/12/2013,53.0,35.0,66.0,6.0,53.0,1.0
01/01/2014,52.0,40.0,46.0,7.0,43.0,4.0
01/02/2014,54.0,46.0,44.0,5.0,51.0,11.0
01/03/2014,98.0,40.0,49.0,6.0,60.0,16.0
01/04/2014,102.0,46.0,66.0,6.0,40.0,16.0
01/05/2014,85.0,38.0,46.0,5.0,54.0,19.0
01/06/2014,74.0,47.0,67.0,6.0,41.0,14.0
01/07/2014,33.0,55.0,52.0,7.0,56.0,16.0
01/08/2014,68.0,54.0,57.0,8.0,62.0,22.0
01/09/2014,49.0,37.0,56.0,5.0,62.0,19.0
01/10/2014,72.0,68.0,52.0,17.0,82.0,23.0
01/11/2014,65.0,75.0,71.0,23.0,77.0,34.0
01/12/2014,47.0,73.0,87.0,15.0,64.0,28.0
01/01/2015,60.0,60.0,56.0,15.0,49.0,15.0
01/02/2015,89.0,75.0,51.0,29.0,57.0,25.0
01/03/2015,83.0,99.0,83.0,39.0,74.0,43.0
01/04/2015,97.0,114.0,113.0,34.0,80.0,38.0
01/05/2015,124.0,124.0,98.0,39.0,78.0,27.0
01/06/2015,95.0,126.0,86.0,37.0,68.0,31.0
01/07/2015,93.0,132.0,89.0,37.0,82.0,42.0
01/08/2015,167.0,146.0,88.0,49.0,72.0,33.0
01/09/2015,105.0,124.0,51.0,46.0,63.0,18.0
01/10/2015,119.0,141.0,77.0,28.0,99.0,40.0
01/11/2015,159.0,132.0,93.0,23.0,76.0,36.0
01/12/2015,80.0,129.0,61.0,17.0,75.0,28.0
01/01/2016,144.0,102.0,38.0,19.0,73.0,25.0
01/02/2016,126.0,111.0,35.0,17.0,67.0,30.0
01/03/2016,144.0,98.0,48.0,16.0,81.0,21.0
01/04/2016,120.0,95.0,51.0,29.0,85.0,21.0
01/05/2016,159.0,103.0,36.0,36.0,83.0,20.0
01/06/2016,107.0,93.0,25.0,30.0,80.0,16.0
01/07/2016,108.0,111.0,51.0,34.0,64.0,12.0
01/08/2016,125.0,112.0,38.0,27.0,63.0,14.0
01/09/2016,115.0,100.0,26.0,29.0,64.0,11.0
01/10/2016,133.0,148.0,44.0,34.0,82.0,29.0
01/11/2016,117.0,140.0,63.0,44.0,62.0,34.0
01/12/2016,64.0,120.0,53.0,43.0,67.0,23.0
01/01/2017,109.0,77.0,24.0,56.0,79.0,25.0
01/02/2017,71.0,97.0,27.0,78.0,79.0,19.0
01/03/2017,76.0,103.0,38.0,51.0,81.0,22.0
01/04/2017,99.0,152.0,64.0,62.0,96.0,41.0
01/05/2017,107.0,106.0,38.0,43.0,72.0,38.0
01/06/2017,71.0,121.0,23.0,22.0,80.0,25.0
01/07/2017,77.0,143.0,40.0,16.0,93.0,35.0
01/08/2017,89.0,154.0,45.0,16.0,97.0,33.0
01/09/2017,85.0,128.0,36.0,18.0,81.0,54.0
01/10/2017,91.0,126.0,36.0,17.0,85.0,61.0
01/11/2017,41.0,153.0,47.0,20.0,93.0,57.0
01/12/2017,39.0,164.0,41.0,17.0,92.0,58.0
01/01/2018,52.0,83.0,22.0,17.0,72.0,60.0
01/02/2018,47.0,95.0,24.0,17.0,56.0,39.0
01/03/2018,54.0,106.0,39.0,10.0,77.0,64.0
01/04/2018,55.0,135.0,49.0,26.0,75.0,52.0
01/05/2018,93.0,112.0,35.0,23.0,82.0,53.0
01/06/2018,49.0,127.0,27.0,10.0,56.0,82.0
01/07/2018,75.0,115.0,31.0,14.0,53.0,73.0
01/08/2018,58.0,133.0,37.0,19.0,49.0,51.0
01/09/2018,96.0,122.0,37.0,14.0,76.0,62.0
01/10/2018,69.0,125.0,47.0,26.0,68.0,78.0
01/11/2018,65.0,215.0,37.0,37.0,47.0,51.0
01/12/2018,139.0,227.0,47.0,38.0,77.0,82.0
01/01/2019,122.0,111.0,25.0,12.0,68.0,62.0
01/02/2019,115.0,69.0,15.0,16.0,46.0,81.0
01/03/2019,171.0,98.0,43.0,17.0,58.0,137.0
01/04/2019,125.0,106.0,60.0,18.0,72.0,91.0
01/05/2019,188.0,89.0,36.0,26.0,79.0,98.0
01/06/2019,190.0,103.0,52.0,27.0,87.0,95.0
01/07/2019,225.0,106.0,33.0,18.0,72.0,92.0
01/08/2019,162.0,73.0,63.0,27.0,80.0,98.0
01/09/2019,152.0,83.0,61.0,15.0,66.0,129.0
01/10/2019,129.0,90.0,23.0,25.0,62.0,67.0
01/11/2019,106.0,87.0,28.0,24.0,60.0,66.0
01/12/2019,51.0,98.0,25.0,13.0,68.0,60.0
01/01/2020,80.0,46.0,12.0,29.0,78.0,27.0
01/02/2020,69.0,61.0,8.0,28.0,70.0,35.0
01/03/2020,46.0,83.0,31.0,17.0,94.0,78.0
01/04/2020,22.0,122.0,33.0,19.0,86.0,85.0
01/05/2020,22.0,125.0,35.0,25.0,101.0,100.0
01/06/2020,102.0,143.0,16.0,22.0,92.0,77.0
01/07/2020,37.0,108.0,16.0,22.0,76.0,75.0
01/08/2020,56.0,119.0,30.0,29.0,90.0,78.0
01/09/2020,49.0,105.0,23.0,27.0,75.0,85.0
01/10/2020,40.0,94.0,10.0,30.0,87.0,73.0
01/11/2020,34.0,116.0,22.0,30.0,75.0,64.0
01/12/2020,24.0,115.0,15.0,25.0,93.0,54.0
01/01/2021,20.0,58.0,9.0,25.0,55.0,32.0
01/02/2021,32.0,49.0,11.0,10.0,35.0,39.0
01/03/2021,39.0,78.0,15.0,19.0,50.0,23.0
